,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
17,Reteplase,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",7,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
19,Erythropoietin,"['Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.']",8,"'Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.'",'Administer iron supplement,0
20,Erythropoietin,"['Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.']",8,"'Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.'","When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated",0
21,Erythropoietin,"['Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.']",8,"'Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.'",Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent,0
23,Salmon calcitonin,"['Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.']",9,"'Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.'",'Administer calcium supplement,0
24,Salmon calcitonin,"['Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.']",9,"'Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.'",Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation),0
25,Salmon calcitonin,"['Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.']",9,"'Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.'","', 'Administer vitamin supplements",0
26,Salmon calcitonin,"['Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.']",9,"'Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).', 'Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily.'",Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily,0
28,Peginterferon alfa-2b,['Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.'],10,'Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.','Limit caffeine intake,0
29,Peginterferon alfa-2b,['Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.'],10,'Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway.',Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway,0
31,Anistreplase,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",11,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
33,Insulin human,['Avoid alcohol. Alcohol may impair blood glucose control.'],12,'Avoid alcohol. Alcohol may impair blood glucose control.','Avoid alcohol,0
34,Insulin human,['Avoid alcohol. Alcohol may impair blood glucose control.'],12,'Avoid alcohol. Alcohol may impair blood glucose control.',Alcohol may impair blood glucose control,0
36,Tenecteplase,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",13,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
38,Interferon gamma-1b,"['Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.']",14,"'Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.'",'Avoid excessive or chronic alcohol consumption,0
39,Interferon gamma-1b,"['Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.']",14,"'Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.'","Interferon gamma-1b may cause fatigue, drowsiness, and confusion",0
40,Interferon gamma-1b,"['Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.']",14,"'Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption.'",These effects may be exacerbated by alcohol consumption,0
42,Interferon alfa-2a,['Avoid alcohol.'],15,'Avoid alcohol.','Avoid alcohol,0
44,Abciximab,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.']",16,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
45,Abciximab,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.']",16,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic.'",Additive antiplatelet activity may increase the risk of bleeding,0
47,Drotrecogin alfa,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",17,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
49,Pegaspargase,"['Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.']",18,"'Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.'",'Avoid excessive or chronic alcohol consumption,0
50,Pegaspargase,"['Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.']",18,"'Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.'","Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects",0
52,Interferon beta-1a,"['Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.']",19,"'Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.'",'Avoid excessive or chronic alcohol consumption,0
53,Interferon beta-1a,"['Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.']",19,"'Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.'","Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects",0
55,Eptifibatide,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",20,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
56,Eptifibatide,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",20,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding,0
58,Interferon beta-1b,"['Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.']",21,"'Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.'",'Avoid excessive or chronic alcohol consumption,0
59,Interferon beta-1b,"['Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.']",21,"'Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.'","Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects",0
61,Insulin pork,"[""Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.""]",22,"""Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.""","""Avoid excessive or chronic alcohol consumption",0
62,Insulin pork,"[""Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.""]",22,"""Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.""","Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted",0
64,Ibritumomab tiuxetan,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",23,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
65,Ibritumomab tiuxetan,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",23,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently,0
67,Pancrelipase,"['Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.']",24,"'Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.'",'Drink plenty of fluids,0
68,Pancrelipase,"['Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.']",24,"'Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.'","', 'Take with fluids",0
69,Pancrelipase,"['Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.']",24,"'Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.'","', 'Take with food",0
70,Pancrelipase,"['Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.']",24,"'Drink plenty of fluids.', 'Take with fluids.', 'Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less.'","If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less",0
72,Streptokinase,"['Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.']",25,"'Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.'",'Avoid herbs and supplements with anticoagulant/antiplatelet activity,0
74,Cyclosporine,"['Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St. John's Wort."", 'Take at the same time every day. Take consistently with regard to food.']",26,"'Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St John's Wort."", 'Take at the same time every day. Take consistently with regard to food.'",'Avoid grapefruit products,0
75,Cyclosporine,"['Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St. John's Wort."", 'Take at the same time every day. Take consistently with regard to food.']",26,"'Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St John's Wort."", 'Take at the same time every day. Take consistently with regard to food.'","', 'Avoid potassium-containing products",0
76,Cyclosporine,"['Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St. John's Wort."", 'Take at the same time every day. Take consistently with regard to food.']",26,"'Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St John's Wort."", 'Take at the same time every day. Take consistently with regard to food.'",Taking products that increase serum potassium may increase the risk of hyperkalemia,0
77,Cyclosporine,"['Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St. John's Wort."", 'Take at the same time every day. Take consistently with regard to food.']",26,"'Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St John's Wort."", 'Take at the same time every day. Take consistently with regard to food.'","', ""Avoid St John's Wort",0
78,Cyclosporine,"['Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St. John's Wort."", 'Take at the same time every day. Take consistently with regard to food.']",26,"'Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St John's Wort."", 'Take at the same time every day. Take consistently with regard to food.'",""", 'Take at the same time every day",0
79,Cyclosporine,"['Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St. John's Wort."", 'Take at the same time every day. Take consistently with regard to food.']",26,"'Avoid grapefruit products.', 'Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.', ""Avoid St John's Wort."", 'Take at the same time every day. Take consistently with regard to food.'",Take consistently with regard to food,0
81,Octreotide,"['Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.']",27,"'Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.'",'Take on an empty stomach,0
82,Octreotide,"['Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.']",27,"'Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.'",The oral capsules should be taken on an empty stomach,0
83,Octreotide,"['Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.']",27,"'Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.'",Food reduces oral octreotide absorption by 90%,0
84,Octreotide,"['Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.']",27,"'Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.'","', 'Take with or without food",0
85,Octreotide,"['Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.']",27,"'Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.', 'Take with or without food. Octreotide injections may be taken with or without food.'",Octreotide injections may be taken with or without food,0
87,Interferon alfa-2b,['Avoid alcohol.'],28,'Avoid alcohol.','Avoid alcohol,0
89,Cyanocobalamin,['Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.'],29,'Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.','Take with or without food,0
90,Cyanocobalamin,['Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.'],29,'Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.',Recommendations vary from product to product - consult individual product monographs for additional information,0
92,Biotin,"['Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.']",30,"'Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.'",'Avoid dietary avidin (a glycoprotein in uncooked egg-whites),0
93,Biotin,"['Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.']",30,"'Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.'",Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption,0
94,Biotin,"['Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.']",30,"'Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption.'","Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption",0
96,Ascorbic acid,"['Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.']",31,"'Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.'",'Avoid multivalent ions,0
97,Ascorbic acid,"['Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.']",31,"'Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper.'","Do not infuse with elemental compounds that can be reduced, such as copper",0
99,L-Glutamine,"['Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.']",32,"'Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.'",'Take with food,0
100,L-Glutamine,"['Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.']",32,"'Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed.'","Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed",0
102,Methionine,['Take with food.'],33,'Take with food.','Take with food,0
104,Lutein,['Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.'],34,'Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.','Take with foods containing vitamin C,0
105,Lutein,['Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.'],34,'Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.',Taking lutein with vitamin C may increase the rate of absorption of lutein,0
