,name,drug_index,interaction
26,Interferon gamma-1b,14,These effects may be exacerbated by alcohol consumption
27,Interferon alfa-2a,15,'Avoid alcohol
28,Abciximab,16,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
29,Abciximab,16,Additive antiplatelet activity may increase the risk of bleeding
30,Drotrecogin alfa,17,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
31,Pegaspargase,18,'Avoid excessive or chronic alcohol consumption
32,Pegaspargase,18,"Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects"
33,Interferon beta-1a,19,'Avoid excessive or chronic alcohol consumption
34,Interferon beta-1a,19,"Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects"
35,Eptifibatide,20,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
36,Eptifibatide,20,The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding
37,Interferon beta-1b,21,'Avoid excessive or chronic alcohol consumption
38,Interferon beta-1b,21,"Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects"
39,Insulin pork,22,"""Avoid excessive or chronic alcohol consumption"
40,Insulin pork,22,"Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted"
41,Ibritumomab tiuxetan,23,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
42,Ibritumomab tiuxetan,23,Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently
43,Pancrelipase,24,'Drink plenty of fluids
44,Pancrelipase,24,"', 'Take with fluids"
45,Pancrelipase,24,"', 'Take with food"
46,Pancrelipase,24,"If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less"
47,Streptokinase,25,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
48,Cyclosporine,26,'Avoid grapefruit products
49,Cyclosporine,26,"', 'Avoid potassium-containing products"
50,Cyclosporine,26,Taking products that increase serum potassium may increase the risk of hyperkalemia
51,Cyclosporine,26,"', ""Avoid St John's Wort"
52,Cyclosporine,26,""", 'Take at the same time every day"
53,Cyclosporine,26,Take consistently with regard to food
54,Octreotide,27,'Take on an empty stomach
55,Octreotide,27,The oral capsules should be taken on an empty stomach
56,Octreotide,27,Food reduces oral octreotide absorption by 90%
57,Octreotide,27,"', 'Take with or without food"
58,Octreotide,27,Octreotide injections may be taken with or without food
59,Interferon alfa-2b,28,'Avoid alcohol
60,Cyanocobalamin,29,'Take with or without food
61,Cyanocobalamin,29,Recommendations vary from product to product - consult individual product monographs for additional information
62,Biotin,30,'Avoid dietary avidin (a glycoprotein in uncooked egg-whites)
63,Biotin,30,Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption
64,Biotin,30,"Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption"
65,Ascorbic acid,31,'Avoid multivalent ions
66,Ascorbic acid,31,"Do not infuse with elemental compounds that can be reduced, such as copper"
67,L-Glutamine,32,'Take with food
68,L-Glutamine,32,"Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed"
69,Methionine,33,'Take with food
70,Lutein,34,'Take with foods containing vitamin C
71,Lutein,34,Taking lutein with vitamin C may increase the rate of absorption of lutein
72,Lutein,34,Taking lutein with carotenoids or naringenin may reduce lutein absorption
73,Calcifediol,35,'Take with or without food
74,Calcifediol,35,"A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3"
75,Calcifediol,35,"5 and 5 fold, respectively"
76,Vitamin E,36,'Take with or without food
77,Vitamin E,36,High-fat foods may increase absorption of Vitamin E
78,Pravastatin,37,'Take with or without food
79,Pravastatin,37,Lipid lowering effects are similar in the fasting and fed state
80,Fluvoxamine,38,'Avoid alcohol
81,Fluvoxamine,38,"', 'Avoid grapefruit products"
82,Fluvoxamine,38,"', 'Limit caffeine intake"
83,Fluvoxamine,38,"', 'Take with or without food"
84,Fluvoxamine,38,The absorption is unaffected by food
85,Valsartan,39,'Take with or without food
86,Valsartan,39,"Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent"
87,Ramipril,40,'Avoid potassium-containing products
88,Ramipril,40,Potassium products increase the risk of hyperkalemia
89,Ramipril,40,"', 'Take with or without food"
90,Ramipril,40,The absorption is unaffected by food
91,Baclofen,41,'Avoid alcohol
92,Baclofen,41,"', 'Take with food"
93,Baclofen,41,Take with food or milk to reduce gastric irritation
94,Amphetamine,42,'Take with or without food
95,Nicotine,43,'Take separate from meals
96,Nicotine,43,"For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use"
97,Lorazepam,44,'Avoid alcohol
98,Lorazepam,44,"', 'Limit caffeine intake"
99,Lorazepam,44,"', 'Take with food"
100,Bortezomib,45,"""Avoid St John's Wort"
101,Bortezomib,45,"This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib"
102,Bortezomib,45,""", 'Exercise caution with grapefruit products"
103,Bortezomib,45,"Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib"
104,Bortezomib,45,"', 'Limit foods and supplements high in flavonoids"
105,Bortezomib,45,Flavonoids may interfere with the therapeutic action of this drug
106,Bortezomib,45,"Foods high in flavonoids include green vegetables, fruits, and green tea"
107,Bortezomib,45,"', 'Limit foods and supplements high in vitamin C"
108,Bortezomib,45,Vitamin C may interfere with the therapeutic action of this drug
109,Bortezomib,45,Foods high in vitamin C include citrus fruits and beverages
110,Ethchlorvynol,46,'Avoid alcohol
111,Ethchlorvynol,46,"', 'Take with food"
112,Ethchlorvynol,46,Food reduces irritation
113,Phentermine,47,'Limit caffeine intake
114,Phentermine,47,"', 'Take with or without food"
115,Phentermine,47,The absorption is unaffected by food
116,Tramadol,48,'Avoid alcohol
117,Tramadol,48,Co-administration of alcohol may potentiate the CNS effects of tramadol
118,Tramadol,48,"', 'Take with or without food"
119,Tramadol,48,Co-administration of food does not affect pharmacokinetics
120,Betaxolol,49,'No food interactions are expected
121,Fluconazole,50,'Take with or without food
122,Fluconazole,50,The absorption is unaffected by food
123,Oseltamivir,51,'Take with or without food
124,Oseltamivir,51,Co-administration with food does not affect pharmacokinetics but may enhance tolerability
125,Erythromycin,52,'Avoid grapefruit products
126,Erythromycin,52,"', 'Take on an empty stomach"
127,Erythromycin,52,"Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption"
128,Erythromycin,52,"', 'Take with a full glass of water"
129,Sildenafil,53,'Take with or without food
130,Sildenafil,53,If taken with a high-fat meal the medicine may take a little longer to start working
131,Dofetilide,54,'Exercise caution with grapefruit products
132,Dofetilide,54,"Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide"
133,Dofetilide,54,"', ""Exercise caution with St John's Wort"
134,Dofetilide,54,"Dofetilide is partially metabolized by CYP3A4, and St John's Wort is a CYP3A4 inducer, coadministration may reduce dofetilide serum levels"
135,Dofetilide,54,""", 'Take with or without food"
136,Pyrimethamine,55,'Administer folic acid supplement
137,Pyrimethamine,55,Folic acid need is increased
138,Pyrimethamine,55,"', 'Take with food"
139,Pyrimethamine,55,Food reduces irritation
140,Reserpine,56,'Avoid alcohol
141,Reserpine,56,"', 'Take with food"
142,Reserpine,56,Food reduces irritation
143,Azithromycin,57,'Take on an empty stomach
144,Azithromycin,57,Take at least 1 hour before or 2 hours after meals
145,Ticlopidine,58,'Take with a high fat meal
146,Ticlopidine,58,High fat meals will increase ticlopidine absorption
147,Ticlopidine,58,"', 'Take with food"
148,Ticlopidine,58,Food can help ticlopidine-induced stomach upset
149,Trospium,59,'Take on an empty stomach
150,Trospium,59,Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal
151,Midodrine,60,'Take with or without food
152,Midodrine,60,The absorption is unaffected by food
153,Pantoprazole,61,'Take with or without food
154,Pantoprazole,61,The absorption is unaffected by food
155,Torasemide,62,'Take with or without food
156,Torasemide,62,Food delays the Cmax by 30 minutes but does not impact efficacy
157,Citalopram,63,'Avoid alcohol
158,Citalopram,63,"', ""Avoid St John's Wort"
159,Citalopram,63,Co-administration of St John's Wort with citalopram can increase the risk of serotonin syndrome
160,Citalopram,63,""", 'Take with or without food"
161,Citalopram,63,The absorption is unaffected by food
162,Eletriptan,64,'Take with or without food
163,Eletriptan,64,"High-fat meals increase exposure, but not to a clinically relevant extent"
164,Moxifloxacin,65,'Drink plenty of fluids
165,Moxifloxacin,65,"', 'Take with or without food"
166,Nelfinavir,66,'Take with food
167,Nelfinavir,66,Food increases exposure and decreases pharmacokinetic variability
168,Glimepiride,67,'Avoid alcohol
169,Glimepiride,67,Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride
170,Glimepiride,67,"', 'Take with food"
171,Glimepiride,67,The manufacturer recommends administration with the first meal of the day
172,Indinavir,68,'Avoid excessive or chronic alcohol consumption
173,Indinavir,68,"', 'Avoid grapefruit products"
174,Indinavir,68,"', 'Take on an empty stomach"
175,Indinavir,68,Take at least 1 hour before or 2 hours after meals
176,Indinavir,68,"', 'Take with a full glass of water"
177,Lovastatin,69,'Avoid grapefruit products
178,Lovastatin,69,Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis
179,Lovastatin,69,"', 'Take with food"
180,Lovastatin,69,Food increases bioavailability
181,Pregabalin,70,'Avoid alcohol
182,Pregabalin,70,Alcohol may increase CNS effects
183,Pregabalin,70,"', 'Take with or without food"
184,Pregabalin,70,"Food alters drug absorption, but not to a clinically significant extent"
185,Temazepam,71,'Avoid alcohol
186,Temazepam,71,"', 'Take with or without food"
187,Aminosalicylic acid,72,'Take with or without food
188,Aminosalicylic acid,72,The absorption is unaffected by food
189,Butabarbital,73,'Avoid alcohol
190,Butabarbital,73,Concomitant use of alcohol and barbiturates may lead to increased
191,Nevirapine,74,'Avoid alcohol
192,Nevirapine,74,"', 'Take with or without food"
193,Nevirapine,74,The absorption is unaffected by food
194,Butalbital,75,'Avoid alcohol
195,Butalbital,75,Profound CNS depression can occur
196,Cladribine,76,'Take with or without food
197,Cladribine,76,"When taken with oral tablets of cladribine, food decreases Cmax and prolongs Tmax, but not to a clinically significant extent"
198,Ranolazine,77,'Avoid grapefruit products
199,Ranolazine,77,"', 'Take with or without food"
200,Ranolazine,77,The absorption is unaffected by food
201,Mesalazine,78,'Take with or without food
202,Mesalazine,78,The absorption is unaffected by food
203,Benzatropine,79,'Avoid alcohol
204,Benzatropine,79,"', 'Take with food"
205,Benzatropine,79,Food reduces irritation
206,Ziprasidone,80,'Avoid alcohol
207,Ziprasidone,80,"', 'Take with food"
208,Methysergide,81,'Take with food
209,Methysergide,81,Food reduces irritation
210,Cabergoline,82,'Exercise caution with grapefruit products
211,Cabergoline,82,Cabergoline is partially metabolized through the CYP3A4 pathway
212,Cabergoline,82,"Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration"
213,Cabergoline,82,"', ""Exercise caution with St John's Wort"
214,Cabergoline,82,Cabergoline is partially metabolized through the CYP3A4 pathway
215,Cabergoline,82,"Therefore coadministration with St John's Wort, a CYP3A4 inducer, may reduce its serum concentration"
216,Cabergoline,82,""", 'Take with or without food"
217,Cabergoline,82,Taking cabergoline with food may reduce gastric irritation
218,Dapsone,83,'Take with or without food
219,Dapsone,83,The absorption is unaffected by food
220,Phenytoin,84,'Avoid alcohol
221,Phenytoin,84,Alcohol may increase or decrease serum levels of phenytoin
222,Phenytoin,84,"', 'Take separate from antacids"
223,Phenytoin,84,Take at least 2 hours before or after antacids
224,Phenytoin,84,Taking this medication with antacids can reduce absorption
225,Phenytoin,84,"', 'Take with food"
226,Phenytoin,84,Food reduces irritation and increases bioavailability
227,Doxycycline,85,'Avoid multivalent ions
228,Doxycycline,85,"The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium"
229,Doxycycline,85,"', 'Take with or without food"
230,Doxycycline,85,"The absorption of tetracyclines is reduced when taken with foods, but not to a significant extent"
231,Doxycycline,85,"If gastric irritation occurs, it is recommended that doxycycline be given with food or milk"
232,Lymecycline,86,'Take with or without food
233,Calcium acetate,87,'Take with food
234,Calcium acetate,87,"When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations"
235,Cycloserine,88,'Do not take with or immediately after a high-fat meal
236,Cycloserine,88,"High-fat meals may reduce the rate of absorption; however, the impact on the extent of absorption is unknown"
237,Anagrelide,89,'Take with or without food
238,Anagrelide,89,"Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent"
239,Carmustine,90,'Avoid echinacea
240,Metoprolol,91,'Avoid alcohol
241,Metoprolol,91,"', 'Avoid natural licorice"
242,Metoprolol,91,"', 'Take with food"
243,Dicoumarol,92,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
244,Ropinirole,93,'Take with or without food
245,Ropinirole,93,May take with food to reduce nausea
246,Isradipine,94,'Take with or without food
247,Topiramate,95,'Avoid a ketogenic diet
248,Topiramate,95,This type of diet increases the risk of kidney stones
249,Topiramate,95,"', 'Take with or without food"
250,Topiramate,95,Food slightly alters absorption but not to any clinically significant extent
251,Olmesartan,96,'Take with or without food
252,Olmesartan,96,Food does not affect absorption
253,Theophylline,97,'Avoid excessive or chronic alcohol consumption
254,Theophylline,97,"Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline"
255,Theophylline,97,"', ""Avoid St John's Wort"
256,Theophylline,97,""", 'Take with or without food"
257,Theophylline,97,Take consistently with regard to food
258,Argatroban,98,'Avoid herbs and supplements with anticoagulant/antiplatelet activity
259,Argatroban,98,"', 'Exercise caution with grapefruit products"
260,Argatroban,98,"Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting"
261,Argatroban,98,"', ""Exercise caution with St John's Wort"
262,Liothyronine,99,'Take with or without food
263,Disopyramide,100,'Avoid alcohol
264,Disopyramide,100,"', 'Take with or without food"
265,Disopyramide,100,The absorption is unaffected by food
266,Clemastine,101,'Avoid alcohol
267,Clemastine,101,"', 'Take with food"
268,Acarbose,102,'Take with food
269,Acarbose,102,Each dose should be taken with the first bite of a main meal
270,Venlafaxine,103,'Avoid alcohol
271,Venlafaxine,103,"The safety of using venlafaxine with other CNS-active drugs, including alcohol, has not been evaluated"
272,Venlafaxine,103,"', ""Avoid St John's Wort"
273,Venlafaxine,103,Co-administration of St John's Wort may lead to additive serotonergic activity and an increased risk of serotonin syndrome
274,Venlafaxine,103,""", 'Take with food"
275,Venlafaxine,103,Co-administration with food helps to alleviate or mitigate gastrointestinal upset
276,Conjugated estrogens,104,'Take with or without food
277,Conjugated estrogens,104,Consult individual product monograph for specific instructions
278,Atomoxetine,105,'Take with or without food
279,Chlorambucil,106,'Avoid echinacea
280,Chlorambucil,106,"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants"
281,Chlorambucil,106,Monitor for reduced efficacy of the immunosuppressant during concomitant use
282,Chlorambucil,106,"', 'Drink plenty of fluids"
283,Chlorambucil,106,"', 'Take on an empty stomach"
284,Chlorambucil,106,Co-administration with food decreases bioavailability
285,Etonogestrel,107,'Administer vitamin supplements
286,Etonogestrel,107,"', 'Avoid alcohol"
287,Etonogestrel,107,"', 'Limit caffeine intake"
288,Etonogestrel,107,"', 'Take at the same time every day"
289,Etonogestrel,107,"', 'Take with food"
290,Morphine,108,'Avoid alcohol
291,Morphine,108,"Concomitant use may lead to profound sedation, respiratory depression, coma, and death"
292,Morphine,108,"', 'Take with or without food"
293,Morphine,108,There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food
294,Tenofovir disoproxil,109,'Take with or without food
295,Flucloxacillin,110,'Take on an empty stomach
296,Tranexamic acid,111,'Take with or without food
297,Tranexamic acid,111,The co-administration of food does not significantly affect tranexamic acid disposition
298,Bexarotene,112,'Take with food
299,Vindesine,113,'Exercise caution with grapefruit products
300,Vindesine,113,"Vindesine is metabolized by CYP3A4, and grapefruit inhibits CYP3A4 metabolism, which may increase vindesine serum levels"
301,Vindesine,113,"', ""Exercise caution with St John's Wort"
302,Vindesine,113,"Vindesine is metabolized by CYP3A4 and this herb induces CYP3A4 metabolism, which may reduce vindesine serum levels"
303,Chlorthalidone,114,'Take with food
304,Chlorthalidone,114,Food may increase bioavailability
305,Valproic acid,115,'Avoid alcohol
306,Valproic acid,115,"', 'Avoid milk and dairy products"
307,Valproic acid,115,"', 'Take with food"
308,Zolmitriptan,116,'Take with or without food
309,Zolmitriptan,116,Food does not significantly impact the oral bioavalibility of zolmitriptan
310,Acetaminophen,117,'Avoid alcohol
311,Acetaminophen,117,Alcohol may increase the risk of hepatotoxicity
312,Acetaminophen,117,"', 'Take with or without food"
313,Acetaminophen,117,The absorption is unaffected by food
314,Gefitinib,118,'Exercise caution with grapefruit products
315,Gefitinib,118,"Grapefruit is an inhibitor of CYP3A4, the enzyme primarily responsible for metabolizing gefitinib"
316,Gefitinib,118,Coadministration with grapefruit products may decrease gefitinib metabolism and increase plasma concentrations
317,Gefitinib,118,"', 'Take with or without food"
318,Codeine,119,'Avoid alcohol
319,Codeine,119,"', 'Take with food"
320,Codeine,119,Food reduces irritation
321,Dihydroergotamine,120,'Avoid grapefruit products
322,Dihydroergotamine,120,"Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine"
323,Dihydroergotamine,120,Use caution if co-administering
324,Amitriptyline,121,'Avoid alcohol
325,Amitriptyline,121,"', ""Avoid St John's Wort"
326,Amitriptyline,121,""", 'Limit caffeine intake"
327,Amitriptyline,121,"', 'Take with food"
328,Amitriptyline,121,Food reduces irritation
329,Tolcapone,122,'Take with or without food
330,Tolcapone,122,There is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone
331,Hydromorphone,123,'Avoid alcohol
332,Hydromorphone,123,"', 'Take with or without food"
333,Hydromorphone,123,Food does not significantly affect absorption
334,Indomethacin,124,'Avoid alcohol
335,Indomethacin,124,Ingestion of alcohol can increase the risk of GI bleeding
336,Indomethacin,124,"', 'Take with or without food"
337,Indomethacin,124,Food has no effect on drug absorption
338,Indomethacin,124,"However, food may decrease the extent of gastrointestinal irritation caused by indomethacin"
339,Ethambutol,125,'Take separate from antacids
340,Ethambutol,125,Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration
341,Ethambutol,125,"', 'Take with food"
342,Ethambutol,125,Food reduces irritation
343,Metformin,126,'Avoid alcohol
344,Metformin,126,"', 'Take with food"
345,Metformin,126,Food reduces irritation
346,Methadone,127,'Avoid alcohol
347,Methadone,127,"', 'Take with or without food"
348,Methadone,127,Food does not significantly affect absorption
349,Olanzapine,128,'Avoid alcohol
350,Olanzapine,128,Alcohol may potentiate CNS adverse effects and orthostatic hypotension
351,Olanzapine,128,"', 'Take with or without food"
352,Olanzapine,128,The absorption of olanzapine is unaffected by food
353,Omeprazole,129,'Take before a meal
354,Omeprazole,129,Allow 30-60 minutes before a meal
355,Pyrazinamide,130,'Take with or without food
356,Pyrazinamide,130,The absorption is unaffected by food
357,Cetirizine,131,'Avoid alcohol
358,Cetirizine,131,"', 'Take with or without food"
359,Cetirizine,131,The absorption is unaffected by food
360,Terfenadine,132,'Exercise caution with grapefruit products
361,Terfenadine,132,"Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4"
362,Terfenadine,132,Co-administration may increase terfenadine concentrations and the risk of QT prolongation
363,Terfenadine,132,"', ""Exercise caution with St John's Wort"
364,Terfenadine,132,This herb induces CYP3A4 and terfenadine is a substrate of CYP3A4
365,Diltiazem,133,'Avoid natural licorice
366,Diltiazem,133,The risk of cardiovascular adverse effects may be increased
367,Alfuzosin,134,'Take after a meal
368,Alfuzosin,134,Take alfuzosin after the same meal everyday
369,Alfuzosin,134,Do not take on an empty stomach
370,Trimethadione,135,'Avoid alcohol
371,Trimethadione,135,The combination of alcohol with trimethadione may make you sleepy or dizzy
372,Nitisinone,136,'Limit the intake of phenylalanine and tyrosine
373,Nitisinone,136,"', 'Take separate from meals"
374,Nitisinone,136,Nitisinone capsules should be separated by one hour before or two hours after meals
375,Nitisinone,136,"', 'Take with or without food"
376,Nitisinone,136,Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours
377,Clobazam,137,'Avoid alcohol
378,Clobazam,137,Alcohol increases clobazam absorption by 50%
379,Clobazam,137,"', 'Take with or without food"
380,Clobazam,137,The absorption is unaffected by food
381,Minoxidil,138,'Take with or without food
382,Minoxidil,138,The absorption is unaffected by food
383,Megestrol acetate,139,'Take with food
384,Tioguanine,140,'Take with or without food
385,Tioguanine,140,"However, food intake may lower tioguanine serum levels"
386,Methylergometrine,141,'Avoid grapefruit products
387,Methylergometrine,141,"Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine"
388,Methylergometrine,141,Use caution if co-administering
389,Chlorzoxazone,142,'Avoid alcohol
390,Chlorzoxazone,142,"', 'Take with or without food"
391,Chlorzoxazone,142,The absorption is unaffected by food
392,Aminoglutethimide,143,'Take with or without food
393,Aminoglutethimide,143,The absorption is unaffected by food
394,Mefloquine,144,'Avoid alcohol
395,Mefloquine,144,"', 'Take with a full glass of water"
396,Mefloquine,144,"', 'Take with food"
397,Mefloquine,144,"The presence of food significantly enhances the rate and extent of absorption, leading to about a 40% increase in bioavailability"
398,Sapropterin,145,'Take at the same time every day
399,Sapropterin,145,"', 'Take with food"
400,Sapropterin,145,Taking sapropterin with food increases oral absorption
401,Sapropterin,145,"Sapropterin may be dissolved in water, juice, or dispersed in applesauce"
402,Vinorelbine,146,'Exercise caution with grapefruit products
403,Vinorelbine,146,Grapefruit inhibits CYP3A4 metabolism and may increase the serum levels of vinorelbine
404,Vinorelbine,146,"', ""Exercise caution with St John's Wort"
405,Vinorelbine,146,This herb induces CYP3A4 metabolism and may reduce the serum levels of vinorelbine
406,Clozapine,147,'Avoid alcohol
407,Clozapine,147,Alcohol is a predisposing risk factor for seizure in combination with clozapine
408,Clozapine,147,"', ""Exercise caution with St John's Wort"
409,Clozapine,147,This herb induces both CYP3A4 and CYP1A2 metabolism and may reduce clozapine serum levels
410,Clozapine,147,""", 'Limit caffeine intake"
411,Clozapine,147,Caffeine may reduce clozapine metabolism
412,Clozapine,147,"', 'Take with or without food"
413,Clozapine,147,The absorption is unaffected by food
414,Sucralfate,148,'Take on an empty stomach
415,Sucralfate,148,Take at least 1 hour before or 2 hours after meals
416,Sucralfate,148,"', 'Take separate from antacids"
417,Sucralfate,148,Take at least 30 minutes before or after antacids
418,Grepafloxacin,149,'Avoid caffeine
419,Grepafloxacin,149,"', 'Drink plenty of fluids"
420,Grepafloxacin,149,"', 'Take with or without food"
421,Grepafloxacin,149,The absorption is unaffected by food
422,Doxylamine,150,'Avoid alcohol
423,Doxylamine,150,Co-administration may increase drowsiness and fall risk
424,Levonorgestrel,151,'Take at the same time every day
425,Levonorgestrel,151,"', 'Take with or without food"
426,Levonorgestrel,151,The effect of food on absorption has not been evaluated
427,Mirtazapine,152,'Avoid alcohol
428,Mirtazapine,152,"', 'Take with or without food"
429,Mirtazapine,152,Food does not significantly affect absorption
430,Meprobamate,153,'Avoid alcohol
431,Meprobamate,153,"', 'Take with or without food"
432,Meprobamate,153,Food does not significantly affect absorption
433,Thiethylperazine,154,'Avoid excessive or chronic alcohol consumption
434,Thiethylperazine,154,Additive CNS depression may occur if alcohol is consumed with thiethylperazine
435,Treprostinil,155,'Take with food
436,Treprostinil,155,Taking treprostinil with food increases oral absorption
437,Colestipol,156,'Drink plenty of fluids
438,Colestipol,156,The tablet and granule formulations must be taken with plenty of water or other fluids
439,Colestipol,156,"', 'Take with food"
440,Trihexyphenidyl,157,'Take with or without food
441,Trihexyphenidyl,157,Taking with food may minimize stomach upset
442,Trihexyphenidyl,157,May take before meals to mitigate dry mouth or may take after meals to reduce excess salivation
443,Palonosetron,158,'Take with or without food
444,Mexiletine,159,'Take with food
445,Mexiletine,159,Food reduces irritation
446,Amlodipine,160,'Avoid grapefruit products
447,Amlodipine,160,"', 'Avoid natural licorice"
448,Amlodipine,160,"', 'Take with or without food"
449,Amlodipine,160,The absorption is unaffected by food
450,Tacrine,161,'Take on an empty stomach
451,Tacrine,161,Take tacrine at least one hour before meals for optimal absorption
452,Triamterene,162,'Avoid potassium-containing products
453,Triamterene,162,The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods
454,Procyclidine,163,'Take with or without food
455,Procyclidine,163,Taking with food may reduce the adverse effects of procyclidine
456,Digoxin,164,'Avoid multivalent ions
457,Digoxin,164,Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours
458,Digoxin,164,"', 'Avoid potassium-containing products"
459,Digoxin,164,They may cause arrhythmias when given with digoxin
460,Digoxin,164,"', ""Avoid St John's Wort"
461,Digoxin,164,This drug can decrease digoxin levels
462,Digoxin,164,""", 'Do not take with bran and high fiber foods"
463,Digoxin,164,Separate administration of bran and high fiber foods from medication by at least 2 hours
464,Sulpiride,165,'Avoid alcohol
465,Sulpiride,165,Alcohol enhances the sedative effects of sulpiride
466,Nimodipine,166,'Avoid grapefruit products
467,Nimodipine,166,"', 'Take with or without food"
468,Nimodipine,166,Take consistently at the same time in regard to meals
469,Carisoprodol,167,'Avoid alcohol
470,Carisoprodol,167,"', 'Take with or without food"
471,Carisoprodol,167,The absorption is unaffected by food
472,Progesterone,168,'Administer vitamin supplements
473,Progesterone,168,"', 'Avoid alcohol"
